id,type,name,aliases,description,icon_url,follower_count,source_urls,confidence,evidence_kind,needs_review,review_notes
x,platform,X,Twitter,Public short-post platform node.,,0,https://x.com,1.0,fact,False,
line,platform,LINE,,Messaging and link-in-bio platform node.,,0,https://line.me,1.0,fact,False,
note,platform,note,,Long-form publishing platform node.,,0,https://note.com | https://note.com/,1.0,fact,True,Auto-collected from a public page. Review before relying on inferred meaning.
youtube,platform,YouTube,,Public video publishing platform node.,https://pbs.twimg.com/profile_images/1984471345854566400/5pd8GpgC_400x400.jpg,68672967,https://www.youtube.com | https://x.com/YouTube | http://youtube.com/,1.0,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
instagram,platform,Instagram,,Public photo and short-video platform node.,,0,https://www.instagram.com,1.0,fact,False,
brain,platform,Brain,,Knowledge product marketplace node.,,0,https://brain-market.com | https://brain-market.com/,1.0,fact,True,Auto-collected from a public page. Review before relying on inferred meaning.
tips,platform,Tips,,Digital product marketplace node.,,0,https://tips.jp | https://twitter.com/Tips_infojp | https://tips.jp/,1.0,fact,True,Auto-collected from a public page. Review before relying on inferred meaning.
tokyo,location,Tokyo,東京 | 東京都,Real public location node used for wider metro-area activity references.,,0,https://www.metro.tokyo.lg.jp/,0.98,fact,False,
nagoya,location,Nagoya,名古屋,Real public location node used for Chubu-area activity references.,,0,https://www.city.nagoya.jp/,0.98,fact,False,
kanto,location,Kanto,関東 | 関東地方,Seed entity placeholder. Replace with public-source-backed details.,,0,manual://seed,0.5,fact,False,
chubu,location,Chubu,中部 | 中部地方,Seed entity placeholder. Replace with public-source-backed details.,,0,manual://seed,0.5,fact,False,
osaka,location,Osaka,大阪 | 大阪市,Seed entity placeholder. Replace with public-source-backed details.,,0,manual://seed | https://www.city.osaka.lg.jp/,0.5,fact,False,
kansai,location,Kansai,関西 | 関西地方,Seed entity placeholder. Replace with public-source-backed details.,,0,manual://seed,0.5,fact,False,
matching-apps,location,Matching Apps,Dating Apps | マッチングアプリ | マチアプ,Real app-centered field node used for dating-app activity references.,,0,https://www.caa.go.jp/policies/policy/consumer_policy/caution/internet/matching_app/,0.9,fact,False,
shibuya,location,Shibuya,渋谷 | Shibuya-ku | 渋谷区,Real public location node used as a common field example.,https://pbs.twimg.com/profile_images/882844163963633664/PahjufD9_400x400.jpg,0,https://www.city.shibuya.tokyo.jp/ | https://x.com/city_shibuya,0.98,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Generated snapshot differs from manual fields: profile_url.
shinjuku,location,Shinjuku,新宿 | Shinjuku City | Shinjuku-ku | 新宿区,Real public location node used as another common field example.,https://pbs.twimg.com/profile_images/472248378374381568/T7JHLwUF_400x400.jpeg,0,https://www.city.shinjuku.lg.jp/ | https://x.com/shinjuku_info,0.98,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Generated snapshot differs from manual fields: profile_url.
ikebukuro,location,Ikebukuro,池袋,Seed entity placeholder. Replace with public-source-backed details.,,0,manual://seed,0.5,fact,False,
ebisu,location,Ebisu,恵比寿,Seed entity placeholder. Replace with public-source-backed details.,,0,manual://seed,0.5,fact,False,
london,location,London,ロンドン,Seed entity placeholder. Replace with public-source-backed details.,,0,manual://seed,0.5,fact,False,
machida,location,Machida,町田 | 町田駅,Seed entity placeholder. Replace with public-source-backed details.,,0,manual://seed,0.5,fact,False,
2-me-5,person,@2_me_5,2_me_5,X profile for @2_me_5.,,0,manual://seed | https://x.com/2_me_5,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
amekundayo,person,@amekundayo_,amekundayo_,X profile for @amekundayo_.,,0,manual://seed | https://x.com/amekundayo_,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
arrester-pua,person,@arrester_pua,arrester_pua,X profile for @arrester_pua.,,0,manual://seed | https://x.com/arrester_pua,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
atannon-sabu,person,@atannon_sabu,atannon_sabu,X profile for @atannon_sabu.,,0,manual://seed | https://x.com/atannon_sabu,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
banabanasan,person,@banabanasan,banabanasan,TOKYO BUNNYS CLUB（吉原）https://t.co/kblMkAVaoI,https://pbs.twimg.com/profile_images/1639206397480148992/yR9omhWw_400x400.jpg,182006,manual://seed | https://x.com/banabanasan | https://lit.link/tachibanasan,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
beauty-fucku,person,@beauty_fucku,beauty_fucku,X profile for @beauty_fucku.,,0,manual://seed | https://x.com/beauty_fucku,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
bigbigspkun,person,@bigbigspkun,bigbigspkun,X profile for @bigbigspkun.,,0,manual://seed | https://x.com/bigbigspkun,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
change-jp,person,@change_jp,change_jp,https://t.co/Cn5lUY3k7D（チェンジ・ドット・オーグ）は、世界で5億人が利用するオンライン署名サイト。日本で起こったポジティブなチェンジや、オンライン署名の最新ニュースをご紹介します⚡️ 💡サイト利用に関するお問い合わせはヘルプセンターをご利用ください▶️ https://t.co/R53Le0Z7q2,https://pbs.twimg.com/profile_images/1676758915990827009/Je-UNrkh_400x400.jpg,42396,manual://seed | https://x.com/change_jp | http://www.change.org/ja,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint.
chinkawa-pua,person,@chinkawa_pua,chinkawa_pua,X profile for @chinkawa_pua.,,0,manual://seed | https://x.com/chinkawa_pua,0.5,fact,True,Auto-collected from a public X profile. Review generated bio and pinned-post hints. Profile HTML did not expose a pinned-post URL; configure pinned_post_url in data/x_profile_sources.json to attach a generated pinned-post hint. Authenticated X following collection was requested but skipped: Authenticated following page redirected to X login.
