# type|id|name|aliases|scope
# Public, low-risk base nodes
platform|x|X|Twitter|real
platform|line|LINE||real
platform|note|note||real
platform|youtube|YouTube||real
platform|instagram|Instagram||real
platform|brain|Brain||real
platform|tips|Tips||real
location|tokyo|Tokyo|東京,東京都|real
location|nagoya|Nagoya|名古屋|real
location|kanto|Kanto|関東,関東地方|real
location|chubu|Chubu|中部,中部地方|real
location|osaka|Osaka|大阪,大阪市|real
location|kansai|Kansai|関西,関西地方|real
location|matching-apps|Matching Apps|Dating Apps,マッチングアプリ,マチアプ|real
location|shibuya|Shibuya|渋谷,Shibuya-ku,渋谷区|real
location|shinjuku|Shinjuku|新宿,Shinjuku City,Shinjuku-ku,新宿区|real
location|ikebukuro|Ikebukuro|池袋|real
location|ebisu|Ebisu|恵比寿|real
location|london|London|ロンドン|real
location|machida|Machida|町田,町田駅|real
community|play-shibuya|Shibuya City Tourism Association|PLAY! DIVERSITY SHIBUYA,Shibuya Ward Tourism Association|real
community|shinjuku-visitors|Shinjuku Convention & Visitors Bureau|Shinjuku Tourism,Shinjuku Visitors Bureau|real
community|elsta|えるスタ|Elsta|real
community|tokyo-stonan-kai|東京ストナン会|東京ストナン会,#東京ストナン会|real
content|gotokyo-shibuya-guide|GO TOKYO Shibuya Guide|A guide to Shibuya,GO TOKYO Shibuya|real
content|gotokyo-shinjuku-guide|GO TOKYO Shinjuku Guide|A guide to Shinjuku,GO TOKYO Shinjuku|real
person|genki-japan|ゲンキ GENKI【ゲンキジャパン】|GENKI,ゲンキジャパン,genkiforfun|real
person|yuu-renai|日本一のナンパ師ゆう|ゆう,yuuuu_renai|real
person|beat-pro|プロのナンパ師|982thebeat|real
person|yabuki-nampa|ヤブキ＠ナンパ師|ヤブキ,yabuki335|real
person|nonchama-pro|のんちゃま® プロナンパ師|のんちゃま,nonchama0721|real
person|puro-nampa|M氏@ナンパ講師|M氏,puro_nanpa|real
person|pika-pua|ピカちう@ナンパ講師/外見改善 東京 名古屋|ピカちう,pika_pua|real
person|weekly-nanpa|週刊プロナンパ日誌|weekly_nanpa|real
person|pua-yossy|アラフィフのヨッシー｜路上の伝説|ヨッシー,pua_yossy|real
person|soshi-pua|そうし｜声かけpua|そうし,soshi_pua|real
person|emuchi-pua|裏えむち@最強ナンパ師|裏えむち,emuchi_pua|real
person|pika-sublol|パキパキピキリチュウ@lv553|pika_sublol|real
person|pika-stochi|ピカチュウ メンズ外見コンサル|pika_stochi,Men's Restyle|real
person|tinder-god|フェイタン@ペアーズ完全攻略tips発売|フェイタン,Tinder_god_2|real
person|schon-nannpa|シャン🫥|シャン,schon_nannpa|real
person|hancho-pua|はんちょう|hancho_pua|real
person|suzuniki-pua|スズキ(アラフォー会社員)|スズキ,suzuniki_pua|real
person|feitan-sub|フェイタンサブ|Feitan_sub|real
person|s-mote-money|S|s_mote_money|real
person|1x5r7zr6nufyswr|ファントム@巨乳狙い 質重視|1X5r7ZR6nuFySWr|real
person|2gf3rchgar32924|ソク@|2GF3RChgAr32924|real
person|5sato-pua|116階の佐藤｜20代の反面教師|5sato_pua|real
person|allen-pua|あれん|allen_pua_|real
person|ao-nampa|あお|ao_nampa|real
person|araaraara-122|呪怨れのん@🍙おにぎり一門🍙|araaraara_122|real
person|atannon-nampa|あたんのん@大阪ストサロン代表|atannon_nampa|real
person|ayase-mbh|アヤセ@MBH|ayase_mbh|real
person|bokupaipan|ロミたん·D·手越⑳|bokupaipan|real
person|cx-lm5|CRUBD 💎 / セクシーコマンドー部【mスト強化月間】|cx_lm5|real
person|daigakusei-pua|きの山@MBH|daigakusei_pua|real
person|dt-moteo|しゅう｜女性心理×童貞卒業コンサル|dt_moteo|real
person|envypua1|エンヴィ@高校生PUA|envypua1|real
person|eroeromancotin|某ナソパ男優社長|eroeromancotin|real
person|fami-ver2|ブラックサンダー@kyo統失一門|fami_ver2|real
person|ffk0772|一条りん@会話刺しのプロ|FFk0772|real
person|gmks-world|たまン子@春案件|gmks_World|real
person|gogo-nishino|にしのー. スト値上げ【note5000部超】整形.見た目改善.ナンパ界隈歴史note作成者|gogo_nishino|real
person|gokurakuin69|トノス|gokurakuin69|real
person|gorogoro-street|ごろー@🍙おにぎり一門🍙|gorogoro_street|real
person|gorubakki-pua|ルキア@薩摩→明太子|gorubakki_pua|real
person|greed-pua|強欲|greed_pua|real
person|greed-pua-sub|強欲サブ|greed_pua_sub|real
person|gureran-m|まーぼーMBH@ナンパ講師|gureran_m|real
person|hanasikikoka|もの #スト集中攻略期間|hanasikikoka__|real
person|happy0210h|ZERO@リーマンのモテハック|happy0210h|real
person|haruki010234|はるき@りお講習|haruki010234|real
person|hase3nox|長谷川|hase3nox|real
person|hyndp2qxwq4n3xb|スーパービックボーイ|HyndP2qxWq4n3Xb|real
person|inpsub|ライ@ジジネト フォロバ100|inpsub|real
person|inumaki-pua|狗巻@ピカ講習|inumaki_pua|real
person|kageki-ashura|過激な♥a♥s♥h♥u♥r♥a♥|kageki_ashura|real
person|kibaaaana|キバナ👃@味噌|kibaaaana|real
person|kirishima-nanpa|霧島|kirishima_nanpa|real
person|kuroiwa-45|黒岩|kuroiwa_45|real
